SCIENTIFIC_NAME,order,Family,Diet,Foraging_behaviour,Foraging_substrate,Habitat,Nesting_site,Overall_specialization,urban_score,urban_score_sample,lists_in_range_urban_score,relative_urbanness
Picus viridis,Piciformes,Picidae,1,0.5,0.33333,0.5,0.16667,0.346,1.3135852813720703,8575,1.5257902145385742,-1.2530299596873389
Platalea leucorodia,Pelecaniformes,Threskiornithidae,0.33333,1,0.33333,1,0.25,0.455,1.1805484294891357,4571,1.5628833770751953,-1.3969042758165902
Plectrophenax nivalis,Passeriformes,Emberizidae,0.5,0.5,0.5,0.5,0.33333,0.303,0.8605881929397583,523,1.3656814098358154,-1.5158205880755917
Plegadis falcinellus,Pelecaniformes,Threskiornithidae,1,1,0.25,0.33333,0.33333,0.455,1.3992356061935425,3319,1.5105621814727783,-1.174636089537469
Poecile montanus,Passeriformes,Paridae,0.33333,0.5,0.33333,0.33333,0.2,0.137,0.6720325946807861,1015,1.1331599950790405,-1.5306084307250434
Porphyrio porphyrio,Gruiformes,Rallidae,0.2,0.5,0.16667,0.33333,0.33333,0.094,1.8080915212631226,1391,1.456841230392456,-0.8645693495359724
Porzana porzana,Gruiformes,Rallidae,0.2,1,0.2,0.33333,0.33333,0.233,2.2891252040863037,215,1.4490506649017334,-0.6208809272680395
Prunella collaris,Passeriformes,Prunellidae,0.5,1,1,0.5,0.33333,0.565,0.2931987941265106,134,1.1976561546325684,-2.424560576412472
Prunella modularis,Passeriformes,Prunellidae,0.5,1,0.33333,0.25,0.125,0.271,2.7044172286987305,11023,1.503252387046814,-0.5083659402149382
Pterocles alchata,Pterocliformes,Pteroclididae,0.5,1,1,0.5,0.33333,0.565,0.2601010799407959,279,1.445468783378601,-2.7921537378932375
Pterocles orientalis,Pterocliformes,Pteroclididae,1,1,0.5,0.5,0.33333,0.565,0.2456303909420967,320,1.132811188697815,-2.5367385374414124
Ptyonoprogne rupestris,Passeriformes,Hirundinidae,1,1,1,1,0.5,0.869,0.5019800066947937,5843,1.413486123085022,-2.1026811104697654
Pyrrhocorax graculus,Passeriformes,Corvidae,0.5,1,1,0.33333,0.5,0.565,0.31374773383140564,497,1.103247880935669,-2.262413892346007
Pyrrhocorax pyrrhocorax,Passeriformes,Corvidae,0.25,0.25,1,0.33333,0.5,0.303,0.31220394372940063,1745,1.4856764078140259,-2.6497750467337546
Pyrrhula pyrrhula,Passeriformes,Fringillidae,0.33333,1,0.33333,0.5,0.14286,0.297,1.151174783706665,2931,1.4801902770996094,-1.3394073051033697
Rallus aquaticus,Gruiformes,Rallidae,0.11111,1,0.16667,0.33333,0.33333,0.201,0.8438514471054077,2299,1.6034204959869385,-1.7731993064034075
Regulus ignicapilla,Passeriformes,Reguliidae,0.5,0.5,0.33333,0.33333,0.25,0.193,1.4160595536231995,3866,1.5303468704223633,-1.1824688183917307
Regulus regulus,Passeriformes,Reguliidae,0.5,0.5,0.5,1,0.5,0.477,1.2880241870880127,3704,1.7183599472045898,-1.4652505409037064
Remiz pendulinus,Passeriformes,Remizidae,0.33333,0.5,0.33333,0.33333,0.2,0.137,0.9450339674949646,1413,1.4856764078140259,-1.5422108155092902
Riparia riparia,Passeriformes,Hirundinidae,0.5,1,1,1,0.33333,0.695,1.4208743572235107,9955,1.7390012741088867,-1.3877288474649951
Saxicola rubetra,Passeriformes,Muscicapidae,0.33333,0.5,0.25,1,0.33333,0.324,0.5456709861755371,2561,1.6267375946044922,-2.2324766688937925
Serinus serinus,Passeriformes,Fringillidae,1,1,0.33333,0.33333,0.25,0.455,3.1860625743865967,22021,1.5310237407684326,-0.3722378890507858
Sitta europaea,Passeriformes,Sittidae,0.33333,0.5,0.33333,0.5,0.25,0.193,0.9415774345397949,7770,1.602996826171875,-1.663195514512321
Sitta neumayer,Passeriformes,Sittidae,0.33333,1,0.5,1,0.5,0.565,0.41774529218673706,579,1.2485072612762451,-2.1213906422976376
Somateria mollissima,Anseriformes,Anatidae,1,1,0.5,1,0.25,0.673,1.4143311977386475,7713,1.1150145530700684,-0.7683577854847342
Somateria spectabilis,Anseriformes,Anatidae,1,1,0.5,0.33333,0.5,0.565,1.1560720205307007,134,1.3895460367202759,-1.244517966913602
Streptopelia decaocto,Columbiformes,Columbidae,0.5,1,1,1,0.25,0.673,6.327541351318359,36220,1.768908143043518,0.07600360554704011
Streptopelia turtur,Columbiformes,Columbidae,0.5,1,1,1,0.33333,0.695,0.8023689389228821,7255,1.6192731857299805,-1.8394599390294015
Strix aluco,Strigiformes,Strigidae,0.33333,1,0.33333,0.33333,0.14286,0.254,0.7780264317989349,1394,1.535743534564972,-1.7867383159112011
Sturnus unicolor,Passeriformes,Sturnidae,0.25,0.5,0.33333,0.33333,0.25,0.128,3.5528812408447266,20446,1.1489062309265137,0.11885266051708165
Sturnus vulgaris,Passeriformes,Sturnidae,0.25,0.5,0.5,0.25,0.25,0.15,3.4287078380584717,30908,1.7067811489105225,-0.4745976823089484
Sylvia atricapilla,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.5,0.2,0.225,1.875349760055542,30319,1.7494994401931763,-1.1207042594706924
Sylvia borin,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.33333,0.25,0.193,0.9300151467323303,4498,1.629616916179657,-1.7021713223381636
Sylvia cantillans,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.33333,0.5,0.259,0.2946963310241699,2322,1.5232813358306885,-2.745091175013762
Sylvia communis,Passeriformes,Sylviidae,0.5,0.5,0.5,0.5,0.25,0.281,0.884579062461853,9894,1.6646736860275269,-1.7873170687885682
Sylvia conspicillata,Passeriformes,Sylviidae,0.5,0.5,0.33333,1,0.5,0.434,0.5099464654922485,413,1.1632168292999268,-1.8366663576964308
Sylvia curruca,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.5,0.16667,0.216,0.9300151467323303,3593,1.580380916595459,-1.6529353227539656
Sylvia hortensis,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.33333,0.14286,0.166,0.22955670952796936,896,1.1965564489364624,-2.6681616286025243
Sylvia melanocephala,Passeriformes,Sylviidae,0.5,0.5,0.33333,1,0.14286,0.34,2.1368908882141113,13252,1.4801902770996094,-0.7208383604591453
Sylvia nisoria,Passeriformes,Sylviidae,0.33333,0.5,0.5,1,0.2,0.356,0.6187499761581421,503,1.4490506649017334,-1.9291046685332667
Sylvia ruppeli,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.5,0.33333,0.259,0.764122724533081,116,1.5251501202583313,-1.794176988768637
Sylvia undata,Passeriformes,Sylviidae,0.5,0.5,0.5,0.5,0.5,0.346,0.39302462339401245,1672,1.1606802940368652,-2.094563308165884
Tadorna ferruginea,Anseriformes,Anatidae,0.25,0.33333,0.16667,1,0.25,0.216,0.5318570733070374,1035,1.7094827890396118,-2.34086327397275
Tadorna tadorna,Anseriformes,Anatidae,0.5,0.5,0.25,0.5,0.25,0.216,0.8665022253990173,8003,1.692151427268982,-1.8354420288367628
Tetrax tetrax,Otidiformes,Otididae,0.25,1,1,1,0.33333,0.63,0.318458616733551,403,1.4793750047683716,-2.6236377489429445
Troglodytes troglodytes,Passeriformes,Troglodytidae,1,0.5,0.33333,0.33333,0.16667,0.303,1.7304255962371826,25953,1.718807339668274,-1.1704399520282784
Turdus iliacus,Passeriformes,Turdidae,0.33333,1,0.33333,0.25,0.14286,0.231,1.5325000286102295,6393,1.445468783378601,-1.0185683758813804
Turdus merula,Passeriformes,Turdidae,0.33333,1,0.33333,0.2,0.125,0.213,3.4990386962890625,69502,1.7094827890396118,-0.45699451647284106
Turdus philomelos,Passeriformes,Turdidae,0.33333,1,0.5,0.2,0.11111,0.254,1.0591765642166138,11255,1.7467187643051147,-1.6892269842777135
Turdus pilaris,Passeriformes,Turdidae,0.33333,0.5,0.33333,0.33333,0.125,0.118,1.7736632823944092,5607,1.456841230392456,-0.8837941715137003
Turdus torquatus,Passeriformes,Turdidae,0.33333,1,0.33333,0.33333,0.25,0.281,0.3155192583799362,288,1.456841230392456,-2.6103767884323537
Turdus viscivorus,Passeriformes,Turdidae,0.33333,0.5,0.25,0.5,0.25,0.173,0.45465564727783203,4695,1.6099584102630615,-2.3981733759960537
Tyto alba,Strigiformes,Tytonidae,1,1,1,0.5,0.5,0.739,1.2313730716705322,633,1.4759126901626587,-1.267782824967107
Upupa epops,Bucerotiformes,Upupidae,0.5,0.33333,0.5,0.5,0.33333,0.259,0.7074999809265137,10183,1.5408916473388672,-1.8869093237626031
