SCIENTIFIC_NAME,order,Family,Diet,Foraging_behaviour,Foraging_substrate,Habitat,Nesting_site,Overall_specialization,urban_score,urban_score_sample,lists_in_range_urban_score,relative_urbanness
Clamator glandarius,Cuculiformes,Cuculidae,0.5,1,0.5,0.33333,0.25,0.369,0.5458727478981018,384,1.5098233222961426,-2.115192715154339
Clangula hyemalis,Anseriformes,Anatidae,1,1,0.5,0.33333,0.33333,0.52,0.9900000095367432,1479,1.6461584568023682,-1.6562087830227958
Coccothraustes coccothraustes,Passeriformes,Fringillidae,0.25,0.5,0.25,1,0.2,0.268,0.6125065684318542,1883,1.6461584568023682,-2.13635406945275
Columba livia,Columbiformes,Columbidae,1,1,1,0.25,0.33333,0.63,18.844913482666016,43974,1.7148652076721191,1.2213778280396785
Columba oenas,Columbiformes,Columbidae,0.5,1,0.25,0.33333,0.25,0.303,1.402730941772461,4316,1.6017072200775146,-1.2632862108530978
Columba palumbus,Columbiformes,Columbidae,0.33333,1,0.33333,0.25,0.16667,0.238,3.51991605758667,58623,1.7419639825820923,-0.4835268405329516
Coracias garrulus,Coraciiformes,Coraciidae,1,0.33333,0.33333,0.33333,0.2,0.268,0.4708171486854553,1561,1.4856764078140259,-2.2389618875078616
Corvus corax,Passeriformes,Corvidae,0.14286,1,1,0.33333,0.16667,0.384,0.5948003530502319,10113,1.6758203506469727,-2.195349821482035
Corvus corone,Passeriformes,Corvidae,0.16667,0.2,0.25,0.5,0.09091,0.009,2.259727954864502,32623,1.5310237407684326,-0.7157793086835241
Corvus frugilegus,Passeriformes,Corvidae,0.16667,0.25,1,0.25,0.2,0.18,6.193820953369141,10878,1.5303468704223633,0.2932053042480034
Corvus monedula,Passeriformes,Corvidae,0.16667,0.2,0.5,0.5,0.16667,0.094,5.844775199890137,26434,1.6050410270690918,0.1605071068741175
Coturnix coturnix,Galliformes,Phasianidae,0.33333,1,1,1,0.33333,0.651,0.40161576867103577,3098,1.733876347541809,-2.6461357942981487
Crex crex,Gruiformes,Rallidae,0.2,1,0.5,0.5,0.33333,0.356,0.45038819313049316,413,1.5490365028381348,-2.346681919524683
Cuculus canorus,Cuculiformes,Cuculidae,0.5,0.5,0.25,0.14286,0.14286,0.094,0.4771859049797058,12233,1.6411017179489136,-2.3809508440678515
